"ZIP CODE","BOROUGH","ON STREET NAME","CROSS STREET NAME","OFF STREET NAME","count"
NULL,NULL,"KINGS HIGHWAY",NULL,NULL,46
NULL,NULL,"PENNSYLVANIA AVENUE",NULL,NULL,45
NULL,NULL,"LEXINGTON AVENUE",NULL,NULL,45
NULL,NULL,"WILLIAMSBURG BRIDGE INNER ROADWA",NULL,NULL,45
NULL,NULL,"LENOX AVENUE",NULL,NULL,44
NULL,NULL,"ROGERS AVENUE",NULL,NULL,44
NULL,NULL,"GATES AVENUE",NULL,NULL,44
NULL,NULL,"CROSS BRONX EXPY RAMP",NULL,NULL,43
NULL,NULL,"CENTRAL PARK WEST",NULL,NULL,42
NULL,NULL,"RALPH AVENUE",NULL,NULL,41
NULL,NULL,"BAY PARKWAY",NULL,NULL,41
NULL,NULL,"SAINT JOHNS PLACE",NULL,NULL,41
NULL,NULL,"THROOP AVENUE",NULL,NULL,41
"10453","BRONX","WEST FORDHAM ROAD",NULL,"MAJOR DEEGAN EXPRESSWAY",41
NULL,NULL,"MORRIS AVENUE",NULL,NULL,40
NULL,NULL,"BEACH CHANNEL DRIVE",NULL,NULL,40
NULL,NULL,"LAFAYETTE AVENUE",NULL,NULL,39
NULL,NULL,"VERRAZANO BRIDGE",NULL,NULL,39
NULL,NULL,"LAURELTON PARKWAY               ",NULL,NULL,38
NULL,NULL,"ALBANY AVENUE",NULL,NULL,38
NULL,NULL,"BERGEN STREET",NULL,NULL,38
NULL,NULL,"FLUSHING AVENUE",NULL,NULL,37
NULL,NULL,"EASTERN PARKWAY                 ",NULL,NULL,37
NULL,NULL,"WEST STREET",NULL,NULL,37
NULL,NULL,"WASHINGTON AVENUE",NULL,NULL,36
NULL,NULL,"COLUMBUS AVENUE",NULL,NULL,36
NULL,NULL,"WHITESTONE EXPRESSWAY           ",NULL,NULL,36
NULL,NULL,"SHORE PARKWAY",NULL,NULL,36
NULL,NULL,"GOWANUS EXPY (BQE)              ",NULL,NULL,36
NULL,NULL,"WYCKOFF AVENUE",NULL,NULL,35
NULL,NULL,"TOMPKINS AVENUE",NULL,NULL,35
NULL,NULL,"HYLAN BOULEVARD",NULL,NULL,35
NULL,NULL,"OCEAN PARKWAY",NULL,NULL,35
