"ZIP CODE","BOROUGH","ON STREET NAME","CROSS STREET NAME","OFF STREET NAME","count"
NULL,NULL,"PROSPECT STREET",NULL,"JAY STREET",2
NULL,NULL,"PUGSLEY AVENUE",NULL,"BRUCKNER BOULEVARD",2
NULL,NULL,"PULASKI BRIDGE",NULL,"JACKSON AVENUE",2
NULL,NULL,"PULASKI BRIDGE",NULL,"MC GUINNESS BOULEVARD",2
NULL,NULL,"PULASKI BRIDGE                  ",NULL,"MC GUINNESS BOULEVARD",2
NULL,NULL,"QUEENS BOULEVARD",NULL,"29 STREET",2
NULL,NULL,"QUEENS BOULEVARD",NULL,"61 STREET",2
NULL,NULL,"QUEENS BOULEVARD",NULL,"VANWYCK EXPRESSWAY",2
NULL,NULL,"QUEENS BOULEVARD                ",NULL,"64 ROAD",2
NULL,NULL,"QUEENS BOULEVARD                ",NULL,"70 AVENUE",2
NULL,NULL,"QUEENS MIDTOWN EXPRESSWAY",NULL,"69 STREET",2
NULL,NULL,"QUEENS PLAZA NORTH",NULL,"21 STREET",2
NULL,NULL,"QUEENS PLAZA NORTH",NULL,"23 STREET",2
NULL,NULL,"QUEENS PLAZA SOUTH              ",NULL,"21 STREET",2
NULL,NULL,"QUEENS PLAZA SOUTH              ",NULL,NULL,2
NULL,NULL,"QUEENSBORO BRIDGE OUTER ROADWAY ",NULL,NULL,2
NULL,NULL,"QUENTIN ROAD                    ",NULL,NULL,2
NULL,NULL,"RANDALL AVENUE",NULL,"ROSEDALE AVENUE",2
NULL,NULL,"RANDALL AVENUE                  ",NULL,"CROSS BRONX EXPRESSWAY",2
NULL,NULL,"REMSEN AVENUE",NULL,"CLARKSON AVENUE",2
NULL,NULL,"REMSEN AVENUE",NULL,"RUTLAND ROAD",2
NULL,NULL,"REMSEN AVENUE                   ",NULL,"CLARKSON AVENUE",2
NULL,NULL,"RESERVOIR OVAL WEST",NULL,"BAINBRIDGE AVENUE",2
NULL,NULL,"REVIEW AVENUE",NULL,"GREENPOINT AVENUE",2
NULL,NULL,"RICHARDSON AVENUE",NULL,NULL,2
NULL,NULL,"RICHMOND AVENUE",NULL,"ARTHUR KILL ROAD",2
NULL,NULL,"RICHMOND AVENUE",NULL,"CROFT PLACE",2
NULL,NULL,"RICHMOND AVENUE",NULL,"DRAPER PLACE",2
NULL,NULL,"RICHMOND AVENUE",NULL,"GENESEE AVENUE",2
NULL,NULL,"RICHMOND AVENUE",NULL,"LAMBERTS LANE",2
NULL,NULL,"RICHMOND AVENUE",NULL,"ROCKLAND AVENUE",2
NULL,NULL,"RICHMOND AVENUE",NULL,"SIGNS ROAD",2
NULL,NULL,"RICHMOND AVENUE",NULL,"VICTORY BOULEVARD",2
NULL,NULL,"RICHMOND AVENUE                 ",NULL,"VICTORY BOULEVARD",2
NULL,NULL,"RICHMOND AVENUE                 ",NULL,NULL,2
NULL,NULL,"RICHMOND HILL ROAD              ",NULL,"FOREST HILL ROAD",2
NULL,NULL,"RICHMOND HILL ROAD              ",NULL,"MERRYMOUNT STREET",2
NULL,NULL,"RICHMOND TERRACE",NULL,"NICHOLAS AVENUE",2
NULL,NULL,"RICHMOND TERRACE",NULL,"PARK AVENUE",2
NULL,NULL,"RICHMOND TERRACE",NULL,NULL,2
NULL,NULL,"RICHMOND TERRACE                ",NULL,NULL,2
NULL,NULL,"RICHMOND VALLEY ROAD            ",NULL,NULL,2
NULL,NULL,"RIVERSIDE DRIVE WEST",NULL,NULL,2
NULL,NULL,"RIVINGTON STREET",NULL,NULL,2
NULL,NULL,"ROCKAWAY BEACH BOULEVARD",NULL,"BEACH 102 STREET",2
NULL,NULL,"ROCKAWAY BEACH BOULEVARD",NULL,"BEACH 54 STREET",2
NULL,NULL,"ROCKAWAY BEACH BOULEVARD",NULL,"BEACH 56 PLACE",2
NULL,NULL,"ROCKAWAY BOULEVARD",NULL,"114 STREET",2
NULL,NULL,"ROCKAWAY BOULEVARD",NULL,"225 STREET",2
NULL,NULL,"ROCKAWAY BOULEVARD              ",NULL,"114 STREET",2
NULL,NULL,"ROCKAWAY BOULEVARD              ",NULL,"NASSAU EXPRESSWAY",2
NULL,NULL,"ROCKAWAY BOULEVARD              ",NULL,"VANWYCK EXPRESSWAY",2
NULL,NULL,"ROCKAWAY FREEWAY",NULL,"BEACH 39 STREET",2
NULL,NULL,"ROCKAWAY FREEWAY",NULL,"BEACH 84 STREET",2
NULL,NULL,"ROCKLAND AVENUE",NULL,"BRIELLE AVENUE",2
NULL,NULL,"RODNEY STREET",NULL,"DIVISION AVENUE",2
NULL,NULL,"ROEBLING STREET",NULL,NULL,2
NULL,NULL,"ROOSEVELT AVENUE",NULL,"78 STREET",2
NULL,NULL,"ROSE AVENUE",NULL,NULL,2
NULL,NULL,"ROSEWOOD STREET",NULL,NULL,2
NULL,NULL,"ROSSVILLE AVENUE",NULL,NULL,2
NULL,NULL,"RYER AVENUE",NULL,"EAST BURNSIDE AVENUE",2
NULL,NULL,"SACKETT STREET",NULL,"HICKS STREET",2
NULL,NULL,"SACKMAN STREET",NULL,NULL,2
NULL,NULL,"SANDFORD STREET",NULL,NULL,2
NULL,NULL,"SANDS STREET                    ",NULL,NULL,2
NULL,NULL,"SCHAEFER STREET                 ",NULL,NULL,2
NULL,NULL,"SCHOLES STREET",NULL,NULL,2
NULL,NULL,"SEAGATE AVENUE",NULL,NULL,2
NULL,NULL,"SEDGWICK AVENUE",NULL,"WEST KINGSBRIDGE ROAD",2
NULL,NULL,"SEDGWICK AVENUE                 ",NULL,"CEDAR AVENUE",2
NULL,NULL,"SENATOR STREET",NULL,"5 AVENUE",2
NULL,NULL,"SHAKESPEARE AVENUE              ",NULL,NULL,2
NULL,NULL,"SHEA STADIUM",NULL,"NORTHERN BOULEVARD",2
NULL,NULL,"SHEEPSHEAD BAY ROAD",NULL,"SHORE PARKWAY",2
NULL,NULL,"SHELL ROAD                      ",NULL,NULL,2
NULL,NULL,"SHERIDAN EXPRESSWAY",NULL,"EAST 172 STREET",2
NULL,NULL,"SHERIDAN EXPRESSWAY             ",NULL,"EAST 172 STREET",2
NULL,NULL,"SHERIDAN EXPRESSWAY RAMP",NULL,NULL,2
NULL,NULL,"SHORE PARKWAY",NULL,"BAY 44 STREET",2
NULL,NULL,"SHORE PARKWAY",NULL,"BAY PARKWAY",2
NULL,NULL,"SHORE PARKWAY",NULL,"CROSS BAY BOULEVARD",2
NULL,NULL,"SHORE PARKWAY",NULL,"EAST 13 STREET",2
NULL,NULL,"SHORE PARKWAY",NULL,"EAST 14 STREET",2
NULL,NULL,"SHORE PARKWAY                   ",NULL,"BEDFORD AVENUE",2
NULL,NULL,"SHORE PARKWAY                   ",NULL,"CROPSEY AVENUE",2
NULL,NULL,"SHORE PARKWAY                   ",NULL,"KNAPP STREET",2
NULL,NULL,"SHORE PARKWAY                   ",NULL,"ROCKAWAY PARKWAY",2
NULL,NULL,"SHORE ROAD                      ",NULL,"CITY ISLAND ROAD",2
NULL,NULL,"SHORE ROAD                      ",NULL,NULL,2
NULL,NULL,"SIDWAY PLACE",NULL,NULL,2
NULL,NULL,"SMITH PLACE                     ",NULL,NULL,2
NULL,NULL,"SMITH STREET                    ",NULL,NULL,2
NULL,NULL,"SNEDIKER AVENUE",NULL,NULL,2
NULL,NULL,"SOUTH 3 STREET",NULL,NULL,2
NULL,NULL,"SOUTH 5 STREET",NULL,NULL,2
NULL,NULL,"SOUTH AVENUE",NULL,"CHELSEA ROAD",2
NULL,NULL,"SOUTH AVENUE",NULL,"TRAVIS AVENUE",2
NULL,NULL,"SOUTH AVENUE                    ",NULL,"BRABANT STREET",2
NULL,NULL,"SOUTH CONDUIT AVENUE",NULL,"CROSS BAY BOULEVARD",2
NULL,NULL,"SOUTH GANNON AVENUE",NULL,"BRADLEY AVENUE",2
NULL,NULL,"SOUTH GANNON AVENUE",NULL,"WOOLLEY AVENUE",2
NULL,NULL,"SOUTH OXFORD STREET",NULL,NULL,2
NULL,NULL,"SOUTH RAILROAD AVENUE",NULL,NULL,2
NULL,NULL,"SOUTH STREET",NULL,"MONTGOMERY STREET",2
NULL,NULL,"SOUTH STREET                    ",NULL,NULL,2
NULL,NULL,"SOUTHERN BOULEVARD",NULL,"BRONX BOTANICAL GARDENS",2
NULL,NULL,"SOUTHERN BOULEVARD              ",NULL,NULL,2
NULL,NULL,"SOUTHERN STATE PARKWAY",NULL,"CROSS ISLAND PARKWAY",2
NULL,NULL,"SPENCER COURT",NULL,NULL,2
NULL,NULL,"SPOFFORD AVENUE                 ",NULL,NULL,2
NULL,NULL,"SPRINGFIELD BOULEVARD",NULL,"112 AVENUE",2
NULL,NULL,"SPRINGFIELD BOULEVARD",NULL,"115 ROAD",2
NULL,NULL,"STATE STREET",NULL,NULL,2
NULL,NULL,"STEWART AVENUE",NULL,NULL,2
NULL,NULL,"STOCKHOLM STREET                ",NULL,NULL,2
NULL,NULL,"STONE AVENUE",NULL,NULL,2
NULL,NULL,"STRAUSS STREET",NULL,NULL,2
NULL,NULL,"STUYVESANT AVENUE               ",NULL,NULL,2
NULL,NULL,"SULLIVAN PLACE",NULL,NULL,2
NULL,NULL,"SULLIVAN STREET",NULL,NULL,2
NULL,NULL,"SUNRISE HIGHWAY",NULL,NULL,2
NULL,NULL,"SURF AVENUE                     ",NULL,NULL,2
NULL,NULL,"TAYLOR STREET",NULL,NULL,2
NULL,NULL,"THAYER STREET",NULL,NULL,2
NULL,NULL,"THAYER STREET                   ",NULL,NULL,2
NULL,NULL,"THOMPSON STREET",NULL,NULL,2
NULL,NULL,"THOMSON AVENUE",NULL,NULL,2
NULL,NULL,"THROGS NECK EXPRESSWAY",NULL,"PENNYFIELD AVENUE",2
NULL,NULL,"TIEBOUT AVENUE",NULL,"EAST 182 STREET",2
NULL,NULL,"TIFFANY STREET",NULL,NULL,2
NULL,NULL,"TINTON AVENUE",NULL,NULL,2
NULL,NULL,"TODT HILL ROAD",NULL,"FLAGG PLACE",2
NULL,NULL,"TODT HILL ROAD",NULL,NULL,2
NULL,NULL,"TOTTEN ROAD",NULL,"CROSS ISLAND PARKWAY",2
NULL,NULL,"TOWNSEND AVENUE                 ",NULL,NULL,2
NULL,NULL,"TRAVIS AVENUE",NULL,"VICTORY BOULEVARD",2
NULL,NULL,"TRAVIS AVENUE                   ",NULL,"VICTORY BOULEVARD",2
NULL,NULL,"TYRELLAN AVENUE",NULL,NULL,2
NULL,NULL,"UNDERCLIFF AVENUE               ",NULL,"SEDGWICK AVENUE",2
NULL,NULL,"UNDERCLIFF AVENUE               ",NULL,NULL,2
NULL,NULL,"UNION AVENUE                    ",NULL,"RICHMOND TERRACE",2
NULL,NULL,"UNION HALL STREET               ",NULL,NULL,2
NULL,NULL,"UNION TURNPIKE",NULL,"AUSTIN STREET",2
NULL,NULL,"UNION TURNPIKE",NULL,"LANGDALE STREET",2
NULL,NULL,"UNION TURNPIKE",NULL,"SURREY PLACE",2
NULL,NULL,"UNION TURNPIKE",NULL,"VANWYCK EXPRESSWAY",2
NULL,NULL,"UNION TURNPIKE                  ",NULL,"141 STREET",2
NULL,NULL,"UNION TURNPIKE                  ",NULL,"METROPOLITAN AVENUE",2
NULL,NULL,"UNION TURNPIKE                  ",NULL,NULL,2
NULL,NULL,"UNIVERSITY AVENUE",NULL,"FEATHERBED LANE",2
NULL,NULL,"UNIVERSITY AVENUE",NULL,"MACOMBS ROAD",2
NULL,NULL,"UNIVERSITY AVENUE               ",NULL,"MACOMBS ROAD",2
NULL,NULL,"UNIVERSITY HEIGHTS BRIDGE",NULL,NULL,2
NULL,NULL,"UTICA AVENUE",NULL,"FULTON STREET",2
NULL,NULL,"UTICA AVENUE                    ",NULL,"EAST NEW YORK AVENUE",2
NULL,NULL,"UTOPIA PARKWAY",NULL,"29 AVENUE",2
NULL,NULL,"UTOPIA PARKWAY",NULL,"67 AVENUE",2
NULL,NULL,"VAN SICLEN AVENUE               ",NULL,NULL,2
NULL,NULL,"VANCORTLANDT AVENUE WEST        ",NULL,"BAILEY AVENUE",2
NULL,NULL,"VANCORTLANDT PARK",NULL,"INTERSTATE ROUTE 87 NORTH",2
NULL,NULL,"VANDAM STREET",NULL,"QUEENS BOULEVARD",2
NULL,NULL,"VANDERBILT AVENUE",NULL,"GRAND ARMY PLAZA",2
NULL,NULL,"VANDERBILT AVENUE",NULL,"PARK AVENUE",2
NULL,NULL,"VANDERVORT AVENUE",NULL,"MEEKER AVENUE",2
NULL,NULL,"VANDERVORT AVENUE               ",NULL,"MEEKER AVENUE",2
NULL,NULL,"VANERVEER STREET",NULL,"91 AVENUE",2
NULL,NULL,"VANWYCK EXPRESSWAY",NULL,"133 AVENUE",2
NULL,NULL,"VANWYCK EXPRESSWAY",NULL,"91 AVENUE",2
NULL,NULL,"VANWYCK EXPRESSWAY",NULL,"97 AVENUE",2
NULL,NULL,"VANWYCK EXPRESSWAY",NULL,"GRAND CENTRAL PARKWAY",2
NULL,NULL,"VANWYCK EXPRESSWAY",NULL,"UNION TURNPIKE",2
NULL,NULL,"VANWYCK EXPRESSWAY              ",NULL,"107 AVENUE",2
NULL,NULL,"VANWYCK EXPRESSWAY              ",NULL,"115 AVENUE",2
NULL,NULL,"VANWYCK EXPRESSWAY              ",NULL,"133 AVENUE",2
NULL,NULL,"VANWYCK EXPRESSWAY              ",NULL,"ATLANTIC AVENUE",2
NULL,NULL,"VANWYCK EXPRESSWAY              ",NULL,"FOCH BOULEVARD",2
NULL,NULL,"VERMILYEA AVENUE                ",NULL,NULL,2
NULL,NULL,"VERMONT STREET",NULL,NULL,2
NULL,NULL,"VERNON AVENUE                   ",NULL,NULL,2
NULL,NULL,"VERNON BOULEVARD                ",NULL,NULL,2
NULL,NULL,"VETERANS ROAD EAST",NULL,NULL,2
NULL,NULL,"VICTORY BOULEVARD",NULL,"ARLENE STREET",2
NULL,NULL,"VICTORY BOULEVARD",NULL,"BRADLEY AVENUE",2
NULL,NULL,"VICTORY BOULEVARD",NULL,"SILVERLAKE PARK ROAD",2
NULL,NULL,"VICTORY BOULEVARD",NULL,"WEST SERVICE ROAD",2
NULL,NULL,"WADSWORTH AVENUE                ",NULL,NULL,2
NULL,NULL,"WAINWRIGHT AVENUE",NULL,NULL,2
NULL,NULL,"WAINWRIGHT AVENUE               ",NULL,NULL,2
NULL,NULL,"WALKER STREET                   ",NULL,"MORNINGSTAR ROAD",2
NULL,NULL,"WALLABOUT STREET",NULL,NULL,2
NULL,NULL,"WALWORTH STREET                 ",NULL,NULL,2
NULL,NULL,"WASHINGTON AVENUE",NULL,"CROSS BRONX EXPRESSWAY",2
NULL,NULL,"WASHINGTON AVENUE",NULL,"PARK AVENUE",2
NULL,NULL,"WASHINGTON STREET               ",NULL,NULL,2
NULL,NULL,"WATCHOGUE ROAD",NULL,"CRYSTAL AVENUE",2
NULL,NULL,"WATER STREET",NULL,NULL,2
NULL,NULL,"WATERS PLACE                    ",NULL,"WESTCHESTER AVENUE",2
NULL,NULL,"WATSON AVENUE",NULL,NULL,2
NULL,NULL,"WATSON AVENUE                   ",NULL,NULL,2
NULL,NULL,"WEBB AVENUE",NULL,NULL,2
NULL,NULL,"WEBSTER AVENUE",NULL,"BOTANICAL SQUARE SOUTH",2
NULL,NULL,"WEBSTER AVENUE",NULL,"CLAY AVENUE",2
NULL,NULL,"WEBSTER AVENUE                  ",NULL,"EAST 187 STREET",2
NULL,NULL,"WEST 1 STREET",NULL,NULL,2
NULL,NULL,"WEST 10 STREET                  ",NULL,NULL,2
NULL,NULL,"WEST 100 STREET",NULL,"RIVERSIDE DRIVE",2
NULL,NULL,"WEST 102 STREET",NULL,NULL,2
NULL,NULL,"WEST 114 STREET                 ",NULL,NULL,2
NULL,NULL,"WEST 116 STREET",NULL,NULL,2
NULL,NULL,"WEST 119 STREET",NULL,NULL,2
NULL,NULL,"WEST 119 STREET                 ",NULL,NULL,2
NULL,NULL,"WEST 121 STREET                 ",NULL,NULL,2
NULL,NULL,"WEST 122 STREET                 ",NULL,NULL,2
NULL,NULL,"WEST 125 STREET",NULL,"MORNINGSIDE AVENUE",2
NULL,NULL,"WEST 128 STREET                 ",NULL,NULL,2
NULL,NULL,"WEST 13 STREET                  ",NULL,NULL,2
NULL,NULL,"WEST 131 STREET                 ",NULL,NULL,2
NULL,NULL,"WEST 136 STREET                 ",NULL,NULL,2
NULL,NULL,"WEST 138 STREET                 ",NULL,NULL,2
NULL,NULL,"WEST 140 STREET                 ",NULL,NULL,2
NULL,NULL,"WEST 146 STREET                 ",NULL,NULL,2
NULL,NULL,"WEST 151 STREET                 ",NULL,NULL,2
NULL,NULL,"WEST 152 STREET                 ",NULL,NULL,2
NULL,NULL,"WEST 154 STREET",NULL,NULL,2
NULL,NULL,"WEST 155 STREET",NULL,"7 AVENUE",2
NULL,NULL,"WEST 155 STREET",NULL,"HARLEM RIVER DRIVE",2
NULL,NULL,"WEST 157 STREET                 ",NULL,NULL,2
NULL,NULL,"WEST 16 STREET",NULL,NULL,2
NULL,NULL,"WEST 162 STREET",NULL,NULL,2
NULL,NULL,"WEST 166 STREET                 ",NULL,"AMSTERDAM AVENUE",2
NULL,NULL,"WEST 167 STREET                 ",NULL,"AMSTERDAM AVENUE",2
NULL,NULL,"WEST 167 STREET                 ",NULL,NULL,2
NULL,NULL,"WEST 170 STREET",NULL,"GRANT HIGHWAY",2
NULL,NULL,"WEST 170 STREET",NULL,"JEROME AVENUE",2
NULL,NULL,"WEST 172 STREET                 ",NULL,NULL,2
NULL,NULL,"WEST 174 STREET",NULL,NULL,2
NULL,NULL,"WEST 176 STREET",NULL,NULL,2
NULL,NULL,"WEST 177 STREET                 ",NULL,NULL,2
NULL,NULL,"WEST 181 STREET",NULL,"RIVERSIDE DRIVE",2
NULL,NULL,"WEST 182 STREET",NULL,NULL,2
NULL,NULL,"WEST 184 STREET",NULL,NULL,2
NULL,NULL,"WEST 187 STREET                 ",NULL,NULL,2
NULL,NULL,"WEST 189 STREET",NULL,NULL,2
NULL,NULL,"WEST 19 STREET",NULL,NULL,2
NULL,NULL,"WEST 191 STREET",NULL,NULL,2
NULL,NULL,"WEST 20 STREET",NULL,"BAY 54 STREET",2
NULL,NULL,"WEST 202 STREET                 ",NULL,NULL,2
NULL,NULL,"WEST 204 STREET                 ",NULL,NULL,2
NULL,NULL,"WEST 218 STREET",NULL,NULL,2
NULL,NULL,"WEST 231 STREET",NULL,NULL,2
NULL,NULL,"WEST 246 STREET",NULL,"HUDSON PARKWAY",2
NULL,NULL,"WEST 25 STREET",NULL,NULL,2
NULL,NULL,"WEST 259 STREET",NULL,NULL,2
NULL,NULL,"WEST 31 STREET                  ",NULL,NULL,2
NULL,NULL,"WEST 35 STREET                  ",NULL,NULL,2
NULL,NULL,"WEST 36 STREET                  ",NULL,NULL,2
NULL,NULL,"WEST 37 STREET                  ",NULL,NULL,2
NULL,NULL,"WEST 38 STREET                  ",NULL,NULL,2
NULL,NULL,"WEST 42 STREET                  ",NULL,NULL,2
NULL,NULL,"WEST 44 STREET",NULL,NULL,2
NULL,NULL,"WEST 44 STREET                  ",NULL,NULL,2
NULL,NULL,"WEST 45 STREET                  ",NULL,NULL,2
NULL,NULL,"WEST 50 STREET                  ",NULL,NULL,2
NULL,NULL,"WEST 51 STREET                  ",NULL,NULL,2
NULL,NULL,"WEST 53 STREET",NULL,NULL,2
NULL,NULL,"WEST 68 STREET",NULL,NULL,2
NULL,NULL,"WEST 69 STREET",NULL,NULL,2
NULL,NULL,"WEST 72 STREET                  ",NULL,NULL,2
NULL,NULL,"WEST 8 STREET                   ",NULL,NULL,2
NULL,NULL,"WEST 83 STREET                  ",NULL,NULL,2
NULL,NULL,"WEST 86 STREET                  ",NULL,NULL,2
NULL,NULL,"WEST 9 STREET",NULL,"HAMILTON AVENUE",2
NULL,NULL,"WEST 91 STREET                  ",NULL,NULL,2
NULL,NULL,"WEST 95 STREET                  ",NULL,NULL,2
NULL,NULL,"WEST 96 STREET                  ",NULL,NULL,2
NULL,NULL,"WEST 99 STREET",NULL,NULL,2
NULL,NULL,"WEST GUN HILL ROAD              ",NULL,NULL,2
NULL,NULL,"WEST HOUSTON STREET             ",NULL,"AVENUE OF THE AMERICAS",2
NULL,NULL,"WEST KINGSBRIDGE ROAD",NULL,"SEDGWICK AVENUE",2
NULL,NULL,"WEST MOUNT EDEN AVENUE",NULL,NULL,2
NULL,NULL,"WEST SERVICE ROAD",NULL,"ARDEN ROAD",2
NULL,NULL,"WEST STREET",NULL,"BROOKLYN BATTERY TUNNEL",2
NULL,NULL,"WESTCHESTER AVENUE",NULL,"CASTLE HILL AVENUE",2
NULL,NULL,"WESTCHESTER AVENUE",NULL,"EAST TREMONT AVENUE",2
NULL,NULL,"WESTCHESTER AVENUE",NULL,"LONGWOOD AVENUE",2
NULL,NULL,"WESTCHESTER AVENUE              ",NULL,"BRUCKNER BOULEVARD",2
NULL,NULL,"WHEELER AVENUE",NULL,"BRUCKNER BOULEVARD",2
NULL,NULL,"WHITE PLAINS ROAD               ",NULL,"BRUCKNER BOULEVARD",2
NULL,NULL,"WHITE PLAINS ROAD               ",NULL,"RHINELANDER AVENUE",2
NULL,NULL,"WHITE PLAINS ROAD               ",NULL,NULL,2
NULL,NULL,"WHITESTONE EXPRESSWAY           ",NULL,"ULMER STREET",2
NULL,NULL,"WHITLOCK AVENUE",NULL,"LONGFELLOW AVENUE",2
NULL,NULL,"WHITNEY AVENUE",NULL,NULL,2
NULL,NULL,"WILLIAMS AVENUE",NULL,NULL,2
NULL,NULL,"WILLIAMSBRIDGE ROAD",NULL,"PELHAM PARKWAY NORTH",2
NULL,NULL,"WILLIAMSBRIDGE ROAD             ",NULL,"SACKET AVENUE",2
NULL,NULL,"WILLIAMSBURG BRIDGE",NULL,"SOUTH 5 PLACE",2
NULL,NULL,"WILLIS AVENUE",NULL,"BRUCKNER BOULEVARD",2
NULL,NULL,"WILLIS AVENUE                   ",NULL,NULL,2
NULL,NULL,"WILLIS AVENUE BRIDGE APPROACH",NULL,"BRUCKNER BOULEVARD",2
NULL,NULL,"WILLIS AVENUE BRIDGE APPROACH",NULL,"EAST 132 STREET",2
NULL,NULL,"WILLOW ROAD WEST",NULL,"FOREST AVENUE",2
NULL,NULL,"WINANT AVENUE",NULL,NULL,2
NULL,NULL,"WINTHROP STREET",NULL,"REMSEN AVENUE",2
NULL,NULL,"WOODHAVEN BOULEVARD             ",NULL,"ELIOT AVENUE",2
NULL,NULL,"WOODYCREST AVENUE               ",NULL,NULL,2
NULL,NULL,"WOOLLEY AVENUE",NULL,"NORTH GANNON AVENUE",2
NULL,NULL,"WORTMAN AVENUE",NULL,NULL,2
NULL,NULL,"YELLOWSTONE BOULEVARD",NULL,"AUSTIN STREET",2
NULL,NULL,"YELLOWSTONE BOULEVARD",NULL,"WOODHAVEN BOULEVARD",2
NULL,NULL,"YORK STREET",NULL,NULL,2
NULL,NULL,"ZEREGA AVENUE",NULL,NULL,2
NULL,NULL,"VANCORTLANDT PARK",NULL,"east 233rd street",1
NULL,NULL,"13 AVENUE                       ",NULL,NULL,1
NULL,NULL,"BORDEN AVENUE                   ",NULL,"29 STREET",1
NULL,NULL,"BORDEN AVENUE                   ",NULL,"30 STREET",1
NULL,NULL,"BORDEN AVENUE                   ",NULL,"34 STREET",1
NULL,NULL,"BORDEN AVENUE                   ",NULL,"35 STREET",1
NULL,NULL,"13 AVENUE",NULL,NULL,1
NULL,NULL,"BORDEN AVENUE                   ",NULL,"LONG ISLAND EXPRESSWAY",1
NULL,NULL,"129 STREET",NULL,"LIBERTY AVENUE",1
NULL,NULL,"129 AVENUE                      ",NULL,NULL,1
NULL,NULL,"BORDEN AVENUE                   ",NULL,"VERNON BOULEVARD",1
NULL,NULL,"128 AVENUE",NULL,NULL,1
NULL,NULL,"127 STREET                      ",NULL,NULL,1
NULL,NULL,"BORINQUEN PLACE",NULL,NULL,1
NULL,NULL,"BORINQUEN PLACE                 ",NULL,NULL,1
NULL,NULL,"BOROUGH PLACE",NULL,NULL,1
NULL,NULL,"BOSCOBEL PLACE",NULL,NULL,1
NULL,NULL,"BOSCOMBE AVENUE",NULL,"Entrance to West Shore Expy",1
NULL,NULL,"BOSCOMBE AVENUE",NULL,"West shore expressway",1
"11426","QUEENS","88 ROAD",NULL,"247 STREET",1
NULL,NULL,"VANCORTLANDT PARK               ",NULL,"INTERSTATE ROUTE 87 NORTH",1
NULL,NULL,"VANCORTLANDT PARK WEST",NULL,"MAJOR DEEGAN EXPRESSWAY",1
NULL,NULL,"VANCORTLANDT PARK WEST",NULL,"ORLOFF AVENUE",1
NULL,NULL,"VANCORTLANDT PARK WEST          ",NULL,"ORLOFF AVENUE",1
NULL,NULL,"127 STREET",NULL,"109 AVENUE",1
NULL,NULL,"BOSTON ROAD",NULL,"EAST 176 STREET",1
NULL,NULL,"126 STREET",NULL,"89 AVENUE",1
NULL,NULL,"126 AVENUE",NULL,NULL,1
NULL,NULL,"125 STREET                      ",NULL,NULL,1
NULL,NULL,"125 STREET                      ",NULL,"109 AVENUE",1
NULL,NULL,"BOSTON ROAD",NULL,"SOUTHERN BOULEVARD",1
NULL,NULL,"125 STREET",NULL,"ROCKAWAY BOULEVARD",1
NULL,NULL,"VANDAM STREET",NULL,"34 STREET",1
NULL,NULL,"125 AVENUE                      ",NULL,NULL,1
NULL,NULL,"BOSTON ROAD                     ",NULL,"BOLLER AVENUE",1
NULL,NULL,"BOSTON ROAD                     ",NULL,"CROSS BRONX EXPRESSWAY",1
NULL,NULL,"BOSTON ROAD                     ",NULL,"EAST 166 STREET",1
NULL,NULL,"BOSTON ROAD                     ",NULL,"EAST 169 STREET",1
NULL,NULL,"124 STREET",NULL,"ROCKAWAY BOULEVARD",1
"11432","QUEENS","163 STREET",NULL,"89 AVENUE",1
NULL,NULL,"BOSTON ROAD                     ",NULL,"VYSE AVENUE",1
NULL,NULL,"124 AVENUE",NULL,NULL,1
NULL,NULL,"BOTANICAL SQUARE SOUTH",NULL,NULL,1
NULL,NULL,"BOULDER STREET",NULL,NULL,1
NULL,NULL,"BOUNDARY AVENUE",NULL,"JEFFERSON AVENUE",1
NULL,NULL,"BOWERY",NULL,"Bowery & Canal Street",1
NULL,NULL,"123 STREET",NULL,"METROPOLITAN AVENUE",1
NULL,NULL,"BOWERY",NULL,"MANHATTAN BRIDGE",1
NULL,NULL,"123 STREET",NULL,"LIBERTY AVENUE",1
NULL,NULL,"VANDAM STREET",NULL,"GREENPOINT AVENUE",1
NULL,NULL,"123 AVENUE",NULL,NULL,1
NULL,NULL,"BOWNE STREET                    ",NULL,NULL,1
NULL,NULL,"BOX STREET",NULL,NULL,1
NULL,NULL,"122 AVENUE",NULL,"197 STREET",1
NULL,NULL,"BOYNTON AVENUE",NULL,"BRUCKNER BOULEVARD",1
NULL,NULL,"BOYNTON AVENUE",NULL,NULL,1
NULL,NULL,"BRABANT STREET",NULL,"GRANDVIEW AVENUE",1
NULL,NULL,"BRABANT STREET                  ",NULL,"GRANDVIEW AVENUE",1
NULL,NULL,"BRABANT STREET                  ",NULL,"HARBOR ROAD",1
NULL,NULL,"BRABANT STREET                  ",NULL,"LOCKMAN AVENUE",1
NULL,NULL,"BRADDOCK AVENUE",NULL,"240 STREET",1
NULL,NULL,"121 STREET                      ",NULL,NULL,1
NULL,NULL,"BRADDOCK AVENUE                 ",NULL,"CROSS ISLAND PARKWAY",1
NULL,NULL,"BRADFORD STREET",NULL,NULL,1
NULL,NULL,"BRADFORD STREET                 ",NULL,NULL,1
NULL,NULL,"121 STREET                      ",NULL,"LIBERTY AVENUE",1
NULL,NULL,"BRADHURST AVENUE                ",NULL,NULL,1
NULL,NULL,"BRADLEY AVENUE",NULL,"HAROLD STREET",1
